№;НаименованиеКонтейнераОборудования;uid;Уровень;ТипОбъекта;ОбъектРемонта;ОбъектРемонтаКод;ОбъектРемонтаКодККС
1;Иркутские тепловые сети\;;1;;Иркутские тепловые сети;НИТ011221;ITS
2;Иркутские тепловые сети\ Здания и сооружения;;2;;Здания и сооружения;7206;ITS01
4;Иркутские тепловые сети\ Здания и сооружения\ Здания и сооружения\ Здания, сооружения  ЦОЭО;;4;;Здания, сооружения  ЦОЭО;НИТ135666;ITS01UA
5;Иркутские тепловые сети\ Здания и сооружения\ Здания и сооружения\ Здания, сооружения  ЦОЭО\ Здания, сооружения для трансформаторов;;5;;Здания, сооружения для трансформаторов;7214;ITS01UAG
6;Иркутские тепловые сети\ Здания и сооружения\ Здания и сооружения\ Здания, сооружения  ЦОЭО\ Здания, сооружения для трансформаторов\ ЗДАНИЯ И СООРУЖЕНИЯ;;6;;ЗДАНИЯ И СООРУЖЕНИЯ;7215;ITS01UAG10
7;"Иркутские тепловые сети\ Здания и сооружения\ Здания и сооружения\ Здания, сооружения  ЦОЭО\ Здания, сооружения для трансформаторов\ Здания и сооружения\ Здания и сооружения\ Подстанция трансформаторная РК ""Свердловская""";;7;;"Подстанция трансформаторная РК ""Свердловская""";НИТ146531;ITS01UAG10US010
8;"Иркутские тепловые сети\ Здания и сооружения\ Здания и сооружения\ Здания, сооружения  ЦОЭО\ Здания, сооружения для трансформаторов\ Здания и сооружения\ Здания и сооружения\ Подстанция трансформаторная РК ""Свердловская""\ Подстанция трансформаторная РК ""Свердловская""";12CC9FCB-D36D-504F-BE1C-87FF16A651DA;8;;"Подстанция трансформаторная РК ""Свердловская""";НИТ202896;ITS01UAG10US010US01
9;Иркутские тепловые сети\ Здания и сооружения\ Здания и сооружения\ Здания, сооружения  ЦОЭО\ Здания, сооружения ОРУ;;5;;Здания, сооружения ОРУ;7209;ITS01UAA
10;Иркутские тепловые сети\ Здания и сооружения\ Здания и сооружения\ Здания, сооружения  ЦОЭО\ Здания, сооружения ОРУ\ ЗДАНИЯ И СООРУЖЕНИЯ;;6;;ЗДАНИЯ И СООРУЖЕНИЯ;7210;ITS01UAA10
11;Иркутские тепловые сети\ Здания и сооружения\ Здания и сооружения\ Здания, сооружения  ЦОЭО\ Здания, сооружения ОРУ\ Здания и сооружения\ Здания и сооружения\ ОРУ;;7;;ОРУ;НИТ146530;ITS01UAA10US010
12;"Иркутские тепловые сети\ Здания и сооружения\ Здания и сооружения\ Здания, сооружения  ЦОЭО\ Здания, сооружения ОРУ\ Здания и сооружения\ Здания и сооружения\ ОРУ\ ОРУ ""Топка""";9C347BC4-B366-5446-90D8-4E061FA257CA;8;;"ОРУ ""Топка""";НИТ202894;ITS01UAA10US010US01
;"Иркутские тепловые сети\ Здания и сооружения\ Здания и сооружения\ Здания, сооружения  ЦОЭО\ Здания, сооружения ОРУ\ Здания и сооружения\ Здания и сооружения\ ОРУ\ ОРУ ""Топка""\Тестовый объект";;;;;;ITS01UAA10US010US011
